id,id_poligon,se_inunda_,con_que_fr,provinicia,departamen,localidad,distancia_cuerpo_agua,distancia_curso_agua,microbasurales_cercanos,se_inunda_binaria,frecuencia_num,frecuencia_codificada_Alta,frecuencia_codificada_Baja,frecuencia_codificada_Media,frecuencia_codificada_Otro
1,17325.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Formosa,Formosa,1197.3821584598038,222.4582855267637,1,1,1,False,True,False,False
2,17322.0,1,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Formosa,Formosa,261.02171668779914,62.38506777936161,3,1,3,True,False,False,False
3,18578.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Formosa,Formosa,1762.778477006034,988.5035845735858,1,2,1,False,True,False,False
4,12001.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Formosa,Villa del Carmen,945.9724150532328,1460.1887981868883,3,1,1,False,True,False,False
5,12000.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Formosa,Villa del Carmen,1108.2885746348172,1622.0643824707868,2,1,1,False,True,False,False
6,11931.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Formosa,Villa del Carmen,643.0936288049044,891.4696303745683,1,1,1,False,True,False,False
7,18586.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Villa del Carmen,208.1676184557895,715.3227304722293,2,2,2,False,False,True,False
8,22831.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Formosa,Villa del Carmen,2210.7054263765376,815.6051456692376,1,2,3,True,False,False,False
9,12164.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa,1548.2759979447037,128.36653917808746,1,1,2,False,False,True,False
10,12189.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa,3226.76788068779,1496.040565230721,2,1,2,False,False,True,False
11,12188.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa,3301.007108712326,1524.068407825039,2,1,2,False,False,True,False
12,19778.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Formosa,Formosa,1090.8541995160167,774.7581297235412,1,2,3,True,False,False,False
13,21396.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Formosa,Formosa,3478.7396336210063,77.89925369409674,1,2,3,True,False,False,False
14,19788.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa,1863.099988982706,1832.694889578556,1,1,2,False,False,True,False
15,19785.0,1,"Otro, especificar",Formosa,Formosa,Formosa,1370.0123364852832,1288.2227185225513,1,1,0,False,False,False,True
16,22888.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Formosa,Formosa,146.89962629901254,70.02100212220063,3,2,1,False,True,False,False
17,17345.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa,4864.607402614105,37.09168295064046,3,1,2,False,False,True,False
18,17332.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa,4716.305473005231,31.35884410249956,3,1,2,False,False,True,False
19,17333.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa,4501.920199111283,132.24121993521416,4,1,2,False,False,True,False
20,13403.0,1,"Otro, especificar",Formosa,Formosa,Formosa,3625.483927989349,31.669822972497386,2,1,0,False,False,False,True
21,18687.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Formosa,Formosa,4004.7118624271966,255.98199119286616,3,2,3,True,False,False,False
