WKT,id,id_poligon,provincia,departamen,localidad
"MULTIPOLYGON (((-58.9471623831624 -27.5123318306441,-58.946899138391 -27.5120988120695,-58.9467959899602 -27.5122139698938,-58.9470650199339 -27.5124112585411,-58.9471623831624 -27.5123318306441)))","1","15873",Chaco,San Fernando,Puerto Vilelas
"MULTIPOLYGON (((-58.9633583369302 -27.4554919253592,-58.9632840878908 -27.455435476229,-58.9630073742273 -27.455713877171,-58.963041699798 -27.4557759901084,-58.9630929119147 -27.455757617261,-58.9631195782433 -27.455782660131,-58.9633583369302 -27.4554919253592)))","2","18624",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9358913525939 -27.5106337053611,-58.9353384822607 -27.5100056690703,-58.9352090656757 -27.5104523126719,-58.9356942102313 -27.510886167803,-58.9358913525939 -27.5106337053611)))","3","15421",Chaco,San Fernando,Puerto Vilelas
"MULTIPOLYGON (((-58.9891271665692 -27.4311923004499,-58.9890500530601 -27.431295857984,-58.9892663061619 -27.4314339345451,-58.9893494546413 -27.4313303771405,-58.9891271665692 -27.4311923004499)))","4","13689",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-59.029488041997 -27.4637295801265,-59.0284144878388 -27.4628469193129,-59.0282220393419 -27.4628775611785,-59.0293890810246 -27.4638727235592,-59.029488041997 -27.4637295801265)))","5","18900",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9168769320283 -27.5370659203599,-58.9164775666789 -27.5366498451633,-58.9163388749467 -27.5367818529566,-58.9167666470364 -27.5372012701227,-58.9168769320283 -27.5370659203599)))","6","14273",Chaco,San Fernando,Puerto Vilelas
"MULTIPOLYGON (((-58.9462419971824 -27.4937712334572,-58.9460166916251 -27.4936222307535,-58.9455530047417 -27.4939859635458,-58.9456944912672 -27.4941409139451,-58.9462419971824 -27.4937712334572)))","7","15874",Chaco,San Fernando,Barranqueras
"MULTIPOLYGON (((-58.9743303069863 -27.4347950815093,-58.9740142242984 -27.4346532874063,-58.9735681636829 -27.4347862193778,-58.9737061411142 -27.4350616557564,-58.9743303069863 -27.4347950815093)))","8","13694",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9169265520868 -27.4773490293115,-58.9167936019999 -27.4775209780905,-58.9171250908831 -27.4777957416033,-58.9172775403161 -27.4776716548556,-58.9172544956343 -27.4775954301391,-58.9169265520868 -27.4773490293115)))","9","11901",Chaco,San Fernando,Barranqueras
"MULTIPOLYGON (((-58.9903626590967 -27.4094522930766,-58.9902319014072 -27.4094615198494,-58.9901997148991 -27.4096612346463,-58.9903891459107 -27.4097177857155,-58.9903626590967 -27.4094522930766)))","10","18291",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9868868514896 -27.3984069959429,-58.9866400882602 -27.3982224418809,-58.9865271002054 -27.3983307930127,-58.986771851778 -27.3985132632227,-58.9868868514896 -27.3984069959429)))","11","18379",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9631130070811 -27.4623432609292,-58.9631566900706 -27.4622250710563,-58.962999316169 -27.4619521780143,-58.9629356969322 -27.4619605489665,-58.9629038873138 -27.4621648002004,-58.9631130070811 -27.4623432609292)))","12","18282",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-59.0235858410597 -27.4616554498778,-59.0233243256807 -27.4620056034049,-59.0239234641194 -27.46234891343,-59.024086073041 -27.462118354389,-59.0235858410597 -27.4616554498778)))","13","12227",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9611879363656 -27.5021352853612,-58.9608355611563 -27.5024050157533,-58.9612667262554 -27.5028189777595,-58.9615037664771 -27.5025340816608,-58.9611879363656 -27.5021352853612)))","14","11082",Chaco,San Fernando,Barranqueras
"MULTIPOLYGON (((-58.9606109261513 -27.5126361418294,-58.958871178329 -27.5140818937632,-58.959082737565 -27.5142769587971,-58.9607245847583 -27.5128585664406,-58.9606109261513 -27.5126361418294)))","15","12812",Chaco,San Fernando,Barranqueras
"MULTIPOLYGON (((-58.9268073812127 -27.4658780428003,-58.9264674112201 -27.4657331671685,-58.9264560118318 -27.4658313375353,-58.9267808943987 -27.4659550915701,-58.9268073812127 -27.4658780428003)))","16","17741",Chaco,San Fernando,Barranqueras
"MULTIPOLYGON (((-58.9661443633166 -27.5086199185132,-58.965579717106 -27.5090692505825,-58.9658556072521 -27.5093045962449,-58.9663381129503 -27.5088105465482,-58.9661443633166 -27.5086199185132)))","17","17889",Chaco,San Fernando,Barranqueras
"MULTIPOLYGON (((-58.9917389675975 -27.4213458563819,-58.9915250614285 -27.4211800898269,-58.9908250048757 -27.4217633965299,-58.9909882843494 -27.4220568343493,-58.9917389675975 -27.4213458563819)))","18","13296",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9584225788713 -27.4385425610242,-58.9583119377494 -27.4385190538257,-58.9582599699497 -27.438630043466,-58.9583364129067 -27.4387121697768,-58.9584014564753 -27.4386755700154,-58.9584225788713 -27.4385425610242)))","19","17971",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.964365683496 -27.4502988058595,-58.9640914276242 -27.4500116912192,-58.96400090307 -27.4500893461335,-58.9643076807261 -27.4503434350111,-58.964365683496 -27.4502988058595)))","20","13750",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9623503386974 -27.4507778244766,-58.9619228616357 -27.4510946896856,-58.962039873004 -27.4512479152583,-58.9624475687742 -27.4508661897954,-58.9623503386974 -27.4507778244766)))","21","13761",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9941817894578 -27.4223121781866,-58.9937097206712 -27.4219595178364,-58.9934005960822 -27.4222678353015,-58.9938753470779 -27.4227032280935,-58.9941817894578 -27.4223121781866)))","22","13295",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9847167250276 -27.4146647499559,-58.9844725240725 -27.4148341151344,-58.985264207814 -27.415531269474,-58.9854178180922 -27.4153067621443,-58.9847167250276 -27.4146647499559)))","23","13700",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9576734016447 -27.5145581368219,-58.9570902900701 -27.5140874322979,-58.9564102274145 -27.5135394479266,-58.9563217386603 -27.5136114763589,-58.9575342979196 -27.5147014558113,-58.9576734016447 -27.5145581368219)))","24","14274",Chaco,San Fernando,Puerto Vilelas
"MULTIPOLYGON (((-59.0202635082159 -27.4605854366911,-59.0200548557541 -27.4603735741914,-59.0197781100869 -27.4606409801093,-59.0200007334352 -27.4608144223764,-59.0202635082159 -27.4605854366911)))","25","16323",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9390768982506 -27.4726852486771,-58.9383120691687 -27.4719273284785,-58.9382495710452 -27.4719659725916,-58.9390328547943 -27.4726917799024,-58.9390768982506 -27.4726852486771)))","26","18284",Chaco,San Fernando,Barranqueras
"MULTIPOLYGON (((-58.9729903265834 -27.5019978921179,-58.9727955311537 -27.501775148162,-58.9721222966909 -27.5023666528162,-58.9723214507103 -27.5025108854951,-58.9729903265834 -27.5019978921179)))","27","12315",Chaco,San Fernando,Barranqueras
"MULTIPOLYGON (((-59.0215312689543 -27.4296023230099,-59.021255671978 -27.4293035487246,-59.0206643748844 -27.4299184940373,-59.0209285156502 -27.4302017578056,-59.0215312689543 -27.4296023230099)))","28","18609",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9690649136901 -27.4928213005893,-58.9688764885068 -27.4931686783682,-58.9692808315158 -27.4935083223629,-58.9696322008967 -27.4931921739147,-58.9690649136901 -27.4928213005893)))","29","18283",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9325501525255 -27.4685163188443,-58.9324642843131 -27.4683750647471,-58.9321144885357 -27.4684838095767,-58.9322016223489 -27.4686372164618,-58.9325501525255 -27.4685163188443)))","30","17742",Chaco,San Fernando,Barranqueras
"MULTIPOLYGON (((-58.9357317611575 -27.4693416144016,-58.9354511350393 -27.4690735878815,-58.9352767914534 -27.4691747300412,-58.9356466010213 -27.469502846467,-58.9357317611575 -27.4693416144016)))","31","17743",Chaco,San Fernando,Barranqueras
"MULTIPOLYGON (((-58.9375763595757 -27.4703904217662,-58.9369860611901 -27.4698196227267,-58.9364710450172 -27.4702373120607,-58.9371952359934 -27.470806998705,-58.9375763595757 -27.4703904217662)))","32","10949",Chaco,San Fernando,Barranqueras
"MULTIPOLYGON (((-58.9921176042038 -27.3953690791338,-58.9916177468503 -27.3958282177703,-58.9916893556285 -27.3958478750819,-58.9920846392828 -27.3955476160985,-58.9921176042038 -27.3953690791338)))","33","13704",Chaco,San Fernando,Resistencia
"MULTIPOLYGON (((-58.9367174729705 -27.4697631375877,-58.9366121962666 -27.4697030475779,-58.9363138005137 -27.4699645281245,-58.9363976195455 -27.470080245711,-58.9367174729705 -27.4697631375877)))","34","17888",Chaco,San Fernando,Barranqueras
"MULTIPOLYGON (((-60.4605422251221 -26.8158274299251,-60.4602463970853 -26.8151931771426,-60.4598943408651 -26.8153341543144,-60.4600998303077 -26.8159420484067,-60.4605422251221 -26.8158274299251)))","35","16002",Chaco,Comandante Fernández,Presidencia Roque Sáenz Peña
"MULTIPOLYGON (((-60.4597766965838 -26.7825964594099,-60.4594283178449 -26.7817246931937,-60.4583447031903 -26.7820622591136,-60.4587761626648 -26.7829349189552,-60.4597766965838 -26.7825964594099)))","36","14590",Chaco,Comandante Fernández,Presidencia Roque Sáenz Peña
"MULTIPOLYGON (((-60.4602846358263 -26.7775318104656,-60.4602388961586 -26.777418378746,-60.4591766518372 -26.7777726765501,-60.4592311085172 -26.7779046292747,-60.4602846358263 -26.7775318104656)))","37","14592",Chaco,Comandante Fernández,Presidencia Roque Sáenz Peña
"MULTIPOLYGON (((-61.3036996207665 -27.3451070754746,-61.3034345752833 -27.3449696272947,-61.3033103290014 -27.3449885953722,-61.3033920698641 -27.3452955021755,-61.3036996207665 -27.3451070754746)))","38","21088",Chaco,12 de Octubre,General Pinedo
"MULTIPOLYGON (((-61.179554148085 -27.1985205831689,-61.1791101177745 -27.1981279168804,-61.1786698904469 -27.1984461116203,-61.1789536685418 -27.1989001972347,-61.179554148085 -27.1985205831689)))","39","21083",Chaco,Chacabuco,Charata
"MULTIPOLYGON (((-60.2303778376348 -26.8655323700954,-60.229993328303 -26.8656539769624,-60.2300767158689 -26.8659296191942,-60.2304843884134 -26.8657999052028,-60.2303778376348 -26.8655323700954)))","40","21970",Chaco,Quitilipi,Quitilipi
"MULTIPOLYGON (((-60.2342087302144 -26.8667383278852,-60.2339206069273 -26.8668389423665,-60.2340118415673 -26.8670789433576,-60.234306295772 -26.866983766241,-60.2342087302144 -26.8667383278852)))","41","19229",Chaco,Quitilipi,Quitilipi
"MULTIPOLYGON (((-59.3540336184079 -26.5194359288466,-59.353292 -26.51943,-59.3533259441168 -26.5199719087569,-59.3540326910269 -26.5199817282329,-59.3540336184079 -26.5194359288466)))","42","21021",Chaco,Libertador General San Martín,General José de San Martín
"MULTIPOLYGON (((-59.3274790625826 -26.5316813600799,-59.3274517234208 -26.5322144737341,-59.3281093821452 -26.5321871345723,-59.3281139386721 -26.5316904731338,-59.3274790625826 -26.5316813600799)))","43","21025",Chaco,Libertador General San Martín,General José de San Martín
"MULTIPOLYGON (((-59.3405468389392 -26.5527088121583,-59.3399560824037 -26.552665624768,-59.3399738754166 -26.553108965011,-59.3405257165432 -26.5531208910234,-59.3405468389392 -26.5527088121583)))","44","20941",Chaco,Libertador General San Martín,General José de San Martín
"MULTIPOLYGON (((-58.698901229711 -27.0303662630486,-58.6992042175963 -27.0306511234536,-58.6996158206398 -27.0302362537194,-58.6995406867509 -27.0300533190334,-58.6993610187557 -27.029952051618,-58.698901229711 -27.0303662630486)))","45","14530",Chaco,Bermejo,La Leonesa
"MULTIPOLYGON (((-58.6998221246446 -27.0295303674884,-58.6995153750958 -27.0297408379817,-58.6995126307011 -27.0299036324536,-58.6999206427479 -27.0302065599244,-58.6999900532297 -27.0301438665859,-58.6998221246446 -27.0295303674884)))","46","14261",Chaco,Bermejo,La Leonesa
"MULTIPOLYGON (((-60.7431042033094 -27.5856892473128,-60.7415187071559 -27.5849168261099,-60.7413251325488 -27.5853245000538,-60.7429415883193 -27.5858721891767,-60.7431042033094 -27.5856892473128)))","47","18598",Chaco,Mayor Luis J. Fontana,Villa Ángela
"MULTIPOLYGON (((-60.0638408858801 -26.9149351773162,-60.0641957562859 -26.9147985191475,-60.0640524856252 -26.9145097736621,-60.0637064318755 -26.9146398193387,-60.0638408858801 -26.9149351773162)))","48","19239",Chaco,25 de Mayo,Machagai
"MULTIPOLYGON (((-60.610036759681 -25.9343322769583,-60.6099717283423 -25.9343024505548,-60.6099257663436 -25.9343801947868,-60.6099951982991 -25.9344105101477,-60.610036759681 -25.9343322769583)))","49","23504",Chaco,General Güemes,Juan José Castelli
"MULTIPOLYGON (((-60.0619919970632 -26.9283749823784,-60.0614858776744 -26.9285902140359,-60.0617334686388 -26.9289810394425,-60.0621529409339 -26.9288091581119,-60.0619919970632 -26.9283749823784)))","50","294",Chaco,25 de Mayo,Machagai
