WKT,id,id_linea,provinicia,departamen,localidad
"MULTILINESTRING ((-58.8337910635081 -34.4802181517142,-58.8336480510973 -34.4804034841241,-58.8335298469619 -34.4805450372246,-58.8335210911 -34.4805556172243,-58.8335189021345 -34.4805713048102,-58.8335196317897 -34.4806034096371,-58.8335240097206 -34.4806311365331,-58.8335379722607 -34.4806604897892,-58.8340338084894 -34.4809413441392))","1","142932",Buenos Aires,Pilar,Presidente Derqui
"MULTILINESTRING ((-58.0459039057534 -34.8871166628838,-58.0461238271585 -34.8872431176917,-58.046291860857 -34.8873541092758,-58.0465464886088 -34.8874513557721,-58.0467530085533 -34.8875211120928,-58.046924822151 -34.887576092444,-58.0470182887481 -34.887595335567,-58.0470732690994 -34.8876338218129,-58.0471213769067 -34.8876929256905,-58.0471736082404 -34.8877547785856,-58.0472564223945 -34.8878286584327,-58.047366383097 -34.887920750521,-58.0473938732727 -34.8879836342978,-58.0474144909044 -34.888089471474,-58.0474409501984 -34.8882210806898,-58.0474918070234 -34.8883224507125,-58.0475385403219 -34.8883952996779,-58.0475784010766 -34.8884842991215,-58.0475976441995 -34.8885750167011,-58.0475990187083 -34.8886561127192,-58.047575652059 -34.8887574827418,-58.0475619069712 -34.888850949339,-58.0475687795151 -34.8889358252562,-58.0476017677259 -34.8890100487304,-58.0476471265157 -34.8890897702398,-58.0482539721428 -34.8898783946532,-58.0483216667002 -34.8899368112764,-58.0484151332974 -34.889983544575,-58.0485044763682 -34.8900165327858,-58.0486116880532 -34.8900536445229,-58.0487367683523 -34.8901141229093,-58.0488371074933 -34.8901649797342,-58.0489305740905 -34.8902364541908,-58.0490230098061 -34.8903154884458,-58.0491123528769 -34.8904089550429,-58.0491910435046 -34.8905309426973,-58.0492501473822 -34.8906488068253,-58.0493133747862 -34.8907491459664,-58.0493824438524 -34.8908367709012,-58.049448420274 -34.8908986237964,-58.0495405123623 -34.8909618512003,-58.0496425696394 -34.8910206114507,-58.0497305382014 -34.8910742172932,-58.049789642079 -34.8911319466621,-58.0498435915487 -34.8912099500354,-58.049904069935 -34.8913144127028,-58.0499659228302 -34.8914364003572,-58.0500250267078 -34.8915666350642,-58.0500817251951 -34.8917161128942,-58.050164195722 -34.8918875828647,-58.0502164270557 -34.8920167866902,-58.0502535387928 -34.892123654748,-58.0502741564245 -34.8922501095559,-58.0502727819157 -34.8923624756488,-58.0502672838806 -34.8924913358471,-58.0502452917401 -34.8926463117122,-58.0502123035293 -34.8928933796657,-58.050208180003 -34.8929768810742,-58.050220550582 -34.8930356413246,-58.050252164284 -34.8930892471671,-58.0502975230738 -34.8931428530095,-58.0503648740041 -34.893196458852,-58.0504542170749 -34.8932308215716,-58.050566926795 -34.8932555627296,-58.0506775747519 -34.8932679333087,-58.0507930334895 -34.8932638097823,-58.0509167392799 -34.893259686256,-58.0510504102589 -34.8932868328044,-58.0511480003824 -34.8933332224758,-58.0512002317161 -34.8933868283183,-58.0512373434532 -34.8934349361256,-58.0513115669274 -34.8935380242843,-58.0515414535211 -34.893857597576,-58.0515593221353 -34.8939215122343,-58.0515771907494 -34.8940246003929,-58.0516005573987 -34.8941318120779,-58.0516280475744 -34.8942266531838,-58.0516624102939 -34.8942995021493,-58.0517091435925 -34.8943627295532,-58.0517837106939 -34.8944348912643,-58.0518744282735 -34.8945049912121,-58.0519459027301 -34.8945421029492,-58.0520489908887 -34.8945585970546,-58.0521713221703 -34.8945668441073,-58.0522840318904 -34.8945668441073,-58.052399490628 -34.894587461739,-58.0524737141022 -34.8946273224937,-58.0525307562167 -34.8946750866738,-58.0525747404977 -34.8947242253628,-58.0526214737963 -34.8947847037492,-58.0526627090597 -34.8948534291883,-58.0526805776739 -34.8949218110001,-58.0526764541475 -34.8949836638953,-58.0526572110246 -34.8950578873695,-58.0526187247787 -34.8951468868131,-58.0525774895153 -34.89522935734,-58.0524482856898 -34.895452715017,-58.0523740622156 -34.8955925712856,-58.0523671896717 -34.8956640457422,-58.0523809347595 -34.895753388813,-58.0524097994439 -34.8958475426645,-58.0524991425147 -34.8960495954554,-58.0525596209011 -34.8961664287019,-58.0526365933929 -34.8962461502112,-58.0527080678495 -34.8963080031064,-58.0529451706143 -34.8965210519675,-58.0530468842642 -34.8966117695471,-58.0531376018438 -34.8967244792672,-58.0532173233531 -34.8968069497941,-58.0532613076341 -34.8968839222859,-58.0533162879854 -34.896952647725,-58.0533822644069 -34.8969911339709,-58.0535169662675 -34.8970653574451,-58.0536475446017 -34.8971574495334,-58.0537987405677 -34.8972371710428,-58.0539141993054 -34.897311394517,-58.0540214109903 -34.8973306376399,-58.0541038815172 -34.897355378798,-58.0541781049914 -34.8973966140614,-58.0542770696237 -34.8974625904829,-58.0544502577302 -34.8975533080625,-58.054571214503 -34.8976055393962,-58.0547141634163 -34.8976577707299,-58.0548062555046 -34.8976625815107,-58.0549464554003 -34.8976625815107,-58.0550894043136 -34.8976653305282,-58.0553120747363 -34.8976680795458,-58.0554440275793 -34.8976653305282,-58.0555924745277 -34.8976818246336,-58.0557711606693 -34.8977258089146,-58.0559182331089 -34.8977773529939,-58.056138154514 -34.8978598235208,-58.0562618603043 -34.8979285489599,-58.0563635739542 -34.8980082704692,-58.0564405464459 -34.8981209801893,-58.0564900287621 -34.8982556820499,-58.0565147699202 -34.8983738898051,-58.0565202679553 -34.8984975955955,-58.0565147699202 -34.8985979347366,-58.0565065228675 -34.8986886523161,-58.0565120209026 -34.8987656248079,-58.0565395110782 -34.898834350247,-58.0565862443768 -34.8988920796158,-58.0566549698159 -34.8989388129144,-58.0567594324833 -34.8989800481778,-58.0568748912209 -34.898985546213,-58.0569793538883 -34.8989718011251,-58.0570659479416 -34.8989360638968,-58.0571236773104 -34.8989058247036,-58.0572336380129 -34.8988975776509,-58.0573271046101 -34.8988920796158,-58.0574370653126 -34.8989085737212,-58.0575167868219 -34.8989388129144,-58.0575772652083 -34.8989827971954,-58.0576322455596 -34.8990130363886,-58.0577009709987 -34.899029530494,-58.0577944375958 -34.8990309050028,-58.057887904193 -34.899041901073,-58.0579566296321 -34.8990666422311,-58.0579868688253 -34.8990941324067,-58.0580226060536 -34.899149112758,-58.0580775864048 -34.8992150891795,-58.0581243197034 -34.8992618224781,-58.0581847980898 -34.8993030577415,-58.0583414920909 -34.8993772812157,-58.0585036841271 -34.8994625007602,-58.0589146622528 -34.8996659280599,-58.058988885727 -34.8996796731477,-58.0590576111661 -34.8996741751125,-58.0591373326755 -34.8996494339545,-58.0592390463253 -34.8995917045857,-58.0594039873791 -34.8995367242344,-58.0595345657133 -34.8994542537075,-58.0596307813281 -34.8993772812157,-58.059757236136 -34.8993415439874,-58.0599386712951 -34.8993223008645,-58.0600981143138 -34.8993168028293,-58.0602575573325 -34.8993168028293,-58.0603482749121 -34.8993140538118,-58.0604912238253 -34.8992893126537,-58.0606754080021 -34.8992948106888,-58.0609283176179 -34.8993580380928,-58.0613956506036 -34.8995284771817,-58.0618135012732 -34.8997648926921,-58.0621791206091 -34.9000480415011,-58.0624017910318 -34.900253530564,-58.0625282458397 -34.9003744873368,-58.0626629477003 -34.9004844480393,-58.0626849398408 -34.9005339303554,-58.0628141436662 -34.9007181145322,-58.0629323514215 -34.9008885536211,-58.0630175709659 -34.9010026378499,-58.0631000414928 -34.9011235946227,-58.0631687669319 -34.9012445513955,-58.0632237472832 -34.9013627591507,-58.0632732295993 -34.901505708064,-58.063325460933 -34.9016857687144,-58.0633544982529 -34.9018427534991,-58.0633611981613 -34.9019056901195,-58.0633502020911 -34.9020211488571,-58.063316841878 -34.9022292543476,-58.0632704805817 -34.9023798956491,-58.0632512374588 -34.9025283425975,-58.0632059647739 -34.9027015280502,-58.0631027905104 -34.9028554756876,-58.0630588062294 -34.9029764324603,-58.0630698022996 -34.903072648075,-58.0631275316684 -34.903199102883,-58.063172931963 -34.9033116011725))","2","127497",Buenos Aires,La Plata,City Bell
"MULTILINESTRING ((-58.0208316072822 -34.9133845177282,-58.0256726592779 -34.9122891792397))","3","123582",Buenos Aires,La Plata,José Hernández
"MULTILINESTRING ((-58.0941779649702 -34.8952091043241,-58.0937523077361 -34.895142954889))","4","108154",Buenos Aires,La Plata,Arturo Seguí
"MULTILINESTRING ((-58.0069676285238 -34.9682519821549,-58.0066864534336 -34.9677286840705,-58.0064990033735 -34.9674396985612,-58.00615534493 -34.9665805524524,-58.0059132219357 -34.9662095575418,-58.0055773739114 -34.9657096907149,-58.0053586821746 -34.9653738426906,-58.0050853175037 -34.9649852743368,-58.0047729007368 -34.9644697866716,-58.004413621455 -34.963995303707,-58.0041636880415 -34.9636204035868,-58.0030526559145 -34.9621496040267,-58.0029433100461 -34.9618337702015,-58.0029101157647 -34.9616385097223,-58.0029140209743 -34.9615252586443,-58.0029628360941 -34.9614315336143,-58.0031049357396 -34.9610749855549,-58.0030975658248 -34.9609292260314,-58.0030253194474 -34.9607339655521,-58.0029433100461 -34.9605235723857,-58.0028710636688 -34.9604025108885,-58.0027460969621 -34.9602585062851,-58.0024434432192 -34.9599758667414,-58.0019186806812 -34.9591362466805,-58.0017722353218 -34.9586500480872))","5","119691",Buenos Aires,La Plata,Los Hornos
"MULTILINESTRING ((-57.8675941993758 -34.9448289952024,-57.8675966686802 -34.9446586132024,-57.8675941993758 -34.9444907005067,-57.8675769142454 -34.9443326650284,-57.8675275281584 -34.9441431459197,-57.867517650941 -34.9439758505501,-57.8675398746801 -34.9438918942023,-57.8675695063323 -34.9438178150719,-57.8675645677236 -34.9437313894197,-57.8675151816367 -34.9436036029197,-57.8674219787595 -34.9434712394768,-57.8671744176366 -34.9429733129848,-57.8671793562453 -34.9428992338544,-57.8672238037236 -34.9428152775065,-57.8672756591149 -34.9426794657674,-57.8673102293758 -34.942548592637))","6","113851",Buenos Aires,La Plata,Villa Elvira
"MULTILINESTRING ((-58.0703625361725 -34.8722556091152,-58.0704233513032 -34.8723698678455,-58.0704749520201 -34.8724509546863,-58.0705320813853 -34.8725136126997,-58.0706352828191 -34.8725910137751,-58.0707071552462 -34.8726407716093,-58.0708932864037 -34.8727347586294,-58.0710978463886 -34.8728361171805,-58.0711439184573 -34.8728785034837,-58.071182618995 -34.8729669618555,-58.0712213195327 -34.8731715218404,-58.0712600200703 -34.8733613387634,-58.0712839775461 -34.8735235124451,-58.0712913490771 -34.8736949005406,-58.0712913490771 -34.8738073163882,-58.0712839775461 -34.8739271037667,-58.0712176337672 -34.8740468911453,-58.0711632687261 -34.8741261351034,-58.0710950820645 -34.8742127505925,-58.0709439656792 -34.8743343808538,-58.0708075923559 -34.8744191534602,-58.070603032371 -34.8745186691286,-58.0701248042981 -34.8747020359619))","7","94959",Buenos Aires,La Plata,City Bell
"MULTILINESTRING ((-58.0698536071332 -34.9662874681271,-58.0697628347718 -34.9661988570124,-58.0696979973708 -34.9661461766241,-58.06964936932 -34.9660889035866,-58.0696266762297 -34.966053243016,-58.0696007412693 -34.9659540958237,-58.069559677582 -34.9658236105542,-58.0695229363881 -34.9657017702715,-58.0694710664673 -34.9655788493654,-58.0694364865201 -34.9654948309,-58.0694159546765 -34.9654494447193,-58.069383535976 -34.9654008166685,-58.0693500366521 -34.9653532692411,-58.0693284241851 -34.9652862705935,-58.0693089729648 -34.965232239426,-58.069255482109 -34.9649557349263,-58.0692408936938 -34.9648867101099,-58.0692154990451 -34.9648133628,-58.0692133377984 -34.9647675713855,-58.0692176602918 -34.9647374490097,-58.0692311680836 -34.9647093528026,-58.0692435952522 -34.9646893612706,-58.0692592642907 -34.9646763937904,-58.0692960054846 -34.9646688294269,-58.0693386901069 -34.9646586985831,-58.0693521978988 -34.964633844246,-58.0693586816389 -34.9646046674156,-58.0693413916653 -34.9645646843516,-58.0693149163933 -34.9645117338075,-58.0692997876664 -34.9644582429517,-58.0692911426796 -34.9644020505375,-58.0692824976928 -34.9643242456563,-58.0692911426796 -34.9642621098136,-58.0693084326532 -34.9642059173995,-58.0692997876664 -34.9641367575051,-58.069273852706 -34.9640805650909,-58.0692371115121 -34.9640027602097,-58.0692025315649 -34.9639211731468,-58.0689453432076 -34.963413820484,-58.0688405227427 -34.9632095826709,-58.068773524095 -34.9631166490628,-58.0687194929275 -34.9630150704679,-58.0686805904869 -34.9628729684974,-58.0686460105397 -34.9628146148365,-58.0685703669052 -34.9627087137482,-58.068427724623 -34.9624969115716,-58.0682985901327 -34.9622797062783,-58.068231591485 -34.9621565152164,-58.0682034952779 -34.9620830328286,-58.0681624315906 -34.9620009054541,-58.0681213679033 -34.9619382292998,-58.0680716592292 -34.9619020284175,-58.0679808868679 -34.9618334088348,-58.0678339220923 -34.961716701513,-58.0677323434974 -34.9616540253587,-58.0676329261492 -34.9615443420887,-58.0674881226203 -34.9614081835467,-58.0674168014792 -34.9613330802238,-58.067382221532 -34.9612747265629,-58.0673519640782 -34.9611990829285,-58.0673454803381 -34.9611277617874,-58.0673325128579 -34.9610310459976,-58.0673346741046 -34.9609532411164,-58.0673411578447 -34.9609035324423,-58.0673865440254 -34.960862468755,-58.0674384139462 -34.9608257275611,-58.0675054125939 -34.9607765591987,-58.0675486375279 -34.9607225280312,-58.0675594437614 -34.9606749806038,-58.0675594437614 -34.9606382394099,-58.0675421537878 -34.9605885307358,-58.0675075738406 -34.9605474670485,-58.0674643489066 -34.9605172095947,-58.0673908665188 -34.9604739846607,-58.0673281903645 -34.9604394047135,-58.0672552482884 -34.9603751076242,-58.0671104447595 -34.9602200381735,-58.0669526737505 -34.9600644284111,-58.0669116100632 -34.9600039135035,-58.0666722519912 -34.9597456445229,-58.0665058359953 -34.9595857122671,-58.0664258698674 -34.9594971011524,-58.0663848061801 -34.9594198365829,-58.0662983563121 -34.959296645521,-58.0662637763649 -34.9592166793931,-58.0662421638979 -34.9591561644855,-58.0662097451974 -34.9590999720713,-58.0661751652502 -34.9590481021505,-58.0661276178229 -34.9590135222034,-58.0660503532533 -34.9589519266724,-58.0659617421386 -34.958882766778,-58.0658752922707 -34.9587876719232,-58.065808293623 -34.9586947383151,-58.065721843755 -34.9585591200847,-58.065678618821 -34.9584532189964,-58.0656202651601 -34.9583494791549,-58.0655964914464 -34.9582370943265,-58.0655748789794 -34.9581592894453,-58.0655143640718 -34.95803177589,-58.0654733003845 -34.9578826498677,-58.065440881684 -34.9577745875327,-58.0654171079703 -34.9576600414577,-58.0653068843886 -34.9574439167877,-58.0652161120272 -34.9573207257258,-58.0650940015887 -34.9571737609502,-58.0650226804476 -34.9570765048487,-58.0649967454872 -34.9570246349279,-58.0649567624232 -34.9569349431899,-58.0649113762425 -34.9568376870884,-58.0648681513085 -34.9567620434539,-58.064829248868 -34.9566647873524,-58.0648033139076 -34.9565934662113,-58.0647492827401 -34.9565199838235,-58.0646909290792 -34.956459468916,-58.0646628328721 -34.956394631515,-58.0646412204051 -34.9563146653871,-58.0646304141716 -34.9562563117262,-58.0645979954711 -34.9561828293384,-58.0645504480437 -34.9561093469506,-58.0644964168762 -34.9560120908491,-58.0644575144356 -34.9559796721486,-58.0644099670082 -34.9559537371882,-58.064375387061 -34.9559126735009,-58.0643580970874 -34.9558672873202,-58.064353774594 -34.9558305461263,-58.0643624195808 -34.9557851599456,-58.0643667420742 -34.955746257505,-58.0643516133473 -34.9557116775579,-58.0642975821798 -34.9556662913772,-58.064202487325 -34.9555906477427,-58.0640955056134 -34.9554933916412,-58.0640393131992 -34.955437199227,-58.0640252650957 -34.9554026192798,-58.0640252650957 -34.9553518299823,-58.064029587589 -34.9553183306585,-58.0640155394855 -34.9552707832311,-58.063958266448 -34.9552113489469,-58.0638761390734 -34.9551032866119,-58.0637594317516 -34.9549822567967,-58.0636470469232 -34.9548914844353,-58.0634655022004 -34.9547704546201,-58.0633271824116 -34.9546407798181,-58.0632147975833 -34.9545500074568,-58.0631802176361 -34.9545024600294,-58.0631715726493 -34.954433300135,-58.0631629276625 -34.954346850267,-58.0631629276625 -34.9542431104254,-58.0631369927021 -34.9541220806102,-58.0630894452747 -34.953936213394))","8","125241",Buenos Aires,La Plata,José Melchor Romero
"MULTILINESTRING ((-57.9241365281496 -34.952178148191,-57.9237903129175 -34.9522959552566,-57.9235818985154 -34.9524084328704,-57.9234065657644 -34.9524812125029,-57.923188226867 -34.9524564012645,-57.9229798124649 -34.9524348981913,-57.9228160582919 -34.9524200114483,-57.9225662918259 -34.9523654267239))","9","105200",Buenos Aires,La Plata,Altos De San Lorenzo
"MULTILINESTRING ((-59.6307573402901 -33.6933185206702,-59.6306878407936 -33.6923976523417,-59.6309832136537 -33.6919111558662,-59.6320952055976 -33.6915115337614,-59.633572069898 -33.6908512885447,-59.6351705583173 -33.6898087960974,-59.6366647974918 -33.6885925549088,-59.6375682909462 -33.6872720644755,-59.639097279869 -33.6854303278185,-59.6422942567076 -33.6816078555115,-59.6468812234759 -33.6758393973027,-59.6489314586224 -33.6732157913102,-59.6505299470417 -33.672051674744,-59.6529276796706 -33.6706616848142,-59.6551864133066 -33.6697408164857,-59.65665459017 -33.6694020064403,-59.6584789519528 -33.6692282576991,-59.6603901881063 -33.6690545089578,-59.6618323026585 -33.6689502597131,-59.6640041619239 -33.6688981350907,-59.6654115267278 -33.6686592305716,-59.6670621397694 -33.6684681069562,-59.6687475025593 -33.6679642356066,-59.670259116608 -33.6676514878724,-59.6713711085519 -33.6672344908935,-59.6721703527615 -33.6668696185369,-59.6730043467194 -33.6664178718097,-59.6736298421878 -33.6662441230685,-59.6744638361457 -33.6661224989496,-59.6756974522084 -33.6659487502084,-59.6769310682711 -33.6659313753343,-59.678477432068 -33.6658097512154,-59.6802670441027 -33.6654970034812,-59.6811531626829 -33.6650973813764,-59.6819350320185 -33.6646803843975,-59.6895973515066 -33.6614139080624))","10","132459",Buenos Aires,San Pedro,San Pedro
