WKT,id,id_punto,provincia,departamen,localidad
"MULTIPOINT ((-65.7795054093003 -28.4301758411626))","1","95014",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7792140543461 -28.430263703786))","2","95015",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7776986062527 -28.4278386096366))","3","95012",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7778652384877 -28.4283295298377))","4","95013",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7785646244884 -28.4303150060894))","5","95016",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.749936401844 -28.4844751748324))","6","142926",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7477131858468 -28.4826557447343))","7","142925",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7509224489331 -28.4834888436829))","8","142924",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7536871358752 -28.4841860838066))","9","142923",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7629306226292 -28.4288658986966))","10","97088",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7635846283164 -28.4296606972748))","11","97087",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7637890050937 -28.4304373290284))","12","97086",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7584366574883 -28.4724169612879))","13","100438",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7609046250582 -28.4710370574096))","14","100435",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7621575519443 -28.4734266787636))","15","100436",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7602924108505 -28.4733677346345))","16","100437",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7754364982247 -28.5010864123161))","17","142839",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.782432498066 -28.5123049457258))","18","102360",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7825364434457 -28.5122869143844))","19","102361",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7803047997833 -28.5112220045759))","20","102358",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7781558881577 -28.5127302732489))","21","102357",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7839163713948 -28.5102790714885))","22","102359",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7817792519927 -28.5123659359019))","23","101901",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7808998227119 -28.5137355775599))","24","101899",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7825202122331 -28.5120456923207))","25","101902",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7823445275426 -28.5134374338049))","26","101900",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7762775562198 -28.5026101374021))","27","142814",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7754752669138 -28.5006953525849))","28","142815",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.6916714459658 -28.4524042330721))","29","142995",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.69489646703 -28.4516319087688))","30","142996",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.6919577717781 -28.4499531156824))","31","142997",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.6903739273548 -28.4505574253071))","32","142998",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7094390690327 -28.4645478487305))","33","101094",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7103513553739 -28.4642283443097))","34","101093",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7101594549107 -28.4648079714285))","35","101092",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7090855558036 -28.4650527107142))","36","101095",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7082434743643 -28.4652879516626))","37","101096",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7083232700825 -28.4647815815187))","38","101091",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7359379529953 -28.4599453001871))","39","101077",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7375979050994 -28.459198675117))","40","101078",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7382409647107 -28.4599562062387))","41","101079",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7338910922408 -28.4569637792951))","42","101075",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7338910922408 -28.4565794031072))","43","101076",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7745111361146 -28.4956559953934))","44","142855",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7745289057493 -28.4943418101852))","45","142857",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-66.3310373201966 -27.5819590810663))","46","142786",Catamarca,Andalgalá,Andalgalá
"MULTIPOINT ((-66.3325091823936 -27.5812681544577))","47","142788",Catamarca,Andalgalá,Andalgalá
"MULTIPOINT ((-66.32897939533 -27.5816850883255))","48","142785",Catamarca,Andalgalá,Andalgalá
"MULTIPOINT ((-66.3356295973063 -27.5815573040584))","49","142787",Catamarca,Andalgalá,Andalgalá
"MULTIPOINT ((-65.9588680788875 -28.7408100324403))","50","602",Catamarca,Capayán,Huillapima
"MULTIPOINT ((-65.9592083841562 -28.7413738680892))","51","600",Catamarca,Capayán,Huillapima
"MULTIPOINT ((-65.959094054997 -28.7409843573428))","52","601",Catamarca,Capayán,Huillapima
"MULTIPOINT ((-65.7794075086713 -28.4374531547956))","53","6470",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7798876240849 -28.4386507103675))","54","6469",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.7801950722933 -28.4388013620165))","55","6468",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-65.0471988 -29.283173))","56","142998",Catamarca,La Paz,Recreo
"MULTIPOINT ((-65.7365818 -28.4793092))","57","142998",Catamarca,Valle Viejo,San Isidro
"MULTIPOINT ((-65.7797264 -28.4304569))","58","142998",Catamarca,Capital,San Fernando Del Valle De Catamarca
"MULTIPOINT ((-58.9464891677754 -27.512123388791))","59","127546",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-58.9629645645618 -27.4621537563892))","60","143246",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.9629712700844 -27.4621995707255))","61","142496",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.9350930289578 -27.5094983378397))","62","125299",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-58.9370235800743 -27.5103220665892))","63","125326",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-59.0349570661783 -27.4028629899986))","64","112259",Chaco,San Fernando,Fontana
"MULTIPOINT ((-58.9683209359646 -27.4987149752784))","65","92787",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.9667505025864 -27.4951791652169))","66","106912",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-59.0159321576357 -27.465015628378))","67","102759",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-59.0043188257493 -27.4750863370837))","68","129369",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.9983050152659 -27.4871896423396))","69","139140",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.9345975220203 -27.5216231653709))","70","118337",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-58.931581042707 -27.5244382981523))","71","118339",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-58.9332440122962 -27.5230521486226))","72","118340",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-58.9302375912666 -27.5255384043885))","73","118338",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-58.9331648871303 -27.5268638691189))","74","117978",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-58.9428385998911 -27.5197799057489))","75","119728",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-58.941807747345 -27.5202953532959))","76","119730",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-58.9412706957618 -27.5212771376612))","77","119731",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-58.9421067615189 -27.5197470804985))","78","119729",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-58.9469180046687 -27.5122590851508))","79","118354",Chaco,San Fernando,Puerto Vilelas
"MULTIPOINT ((-58.9744816347957 -27.4335446394403))","80","114569",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.999074138701 -27.4241647425407))","81","112273",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.9984703063965 -27.4247465454949))","82","112272",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.9347792416811 -27.4946905251191))","83","126231",Chaco,San Fernando,Barranqueras
"MULTIPOINT ((-58.9180710911751 -27.478557641371))","84","100625",Chaco,San Fernando,Barranqueras
"MULTIPOINT ((-58.994911685586 -27.4055677532784))","85","141473",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.9937566593289 -27.4063910454333))","86","141474",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.9479441940785 -27.4935904077946))","87","127582",Chaco,San Fernando,Barranqueras
"MULTIPOINT ((-58.9859641429117 -27.3988435655414))","88","141946",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.91965392977 -27.4812070097828))","89","133383",Chaco,San Fernando,Barranqueras
"MULTIPOINT ((-58.9221271177894 -27.4791929675654))","90","133384",Chaco,San Fernando,Barranqueras
"MULTIPOINT ((-58.9209852404737 -27.4801583031776))","91","133382",Chaco,San Fernando,Barranqueras
"MULTIPOINT ((-58.9210040867329 -27.4824253349771))","92","132967",Chaco,San Fernando,Barranqueras
"MULTIPOINT ((-58.9774904027581 -27.4307001032555))","93","140522",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.9215894171838 -27.4833120637361))","94","133636",Chaco,San Fernando,Barranqueras
"MULTIPOINT ((-58.9722896397848 -27.4255571546306))","95","140669",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-59.0164893865585 -27.4672836537772))","96","110538",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-59.0040373129418 -27.4746410041048))","97","129507",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-59.0046259760857 -27.4745101448285))","98","129509",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-59.0043399364763 -27.4750943167243))","99","129508",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-59.0044744312763 -27.4743691475603))","100","129506",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.9751288161851 -27.4373973802396))","101","123956",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-59.0408961474895 -27.4255643380194))","102","117719",Chaco,San Fernando,Fontana
"MULTIPOINT ((-59.0421725437045 -27.4265285397655))","103","117720",Chaco,San Fernando,Fontana
"MULTIPOINT ((-59.0430466085672 -27.425040272983))","104","117722",Chaco,San Fernando,Fontana
"MULTIPOINT ((-59.0414329245687 -27.4258970480919))","105","117721",Chaco,San Fernando,Fontana
"MULTIPOINT ((-58.96094036599 -27.435816341381))","106","139974",Chaco,San Fernando,Resistencia
"MULTIPOINT ((-58.9284834265709 -27.469020339472))","107","138585",Chaco,San Fernando,Barranqueras
